,origintime,latitude,longitude,depth
63,2002-12-15 01:02:07.897543,-75.242046,160.980537,12680.664
64,2002-12-15 04:12:14.115777,-75.306697,160.856018,962.8910000000001
65,2002-12-16 06:35:45.890866,-75.032741,160.816461,6232.422
66,2002-12-16 07:21:28.229692,-75.228461,161.015598,64682.61699999999
67,2002-12-16 08:35:46.773239,-75.478055,161.248567,-77.148
68,2002-12-16 20:42:17.225692,-75.20106,160.848325,60383.789
69,2002-12-17 00:54:48.491884,-75.296528,160.80908,5331.055
70,2002-12-17 02:47:32.939100,-75.268439,160.733002,13928.711
71,2002-12-17 03:35:52.103126,-75.342506,160.601881,-4861.328
72,2002-12-17 07:40:22.995465,-75.287975,160.948911,58026.367
73,2002-12-17 10:32:18.310858,-75.35825,160.50492,-4861.328
74,2002-12-17 11:00:25.420141,-75.377703,160.420332,-4861.328
75,2002-12-17 14:22:35.581420,-74.935627,161.081939,12888.672
76,2002-12-18 03:46:36.341948,-75.227882,161.213549,64474.609000000004
77,2002-12-18 06:04:56.487624,-75.364706,160.545387,-4930.664
78,2002-12-19 05:50:54.849250,-75.463132,160.734502,-4965.332
79,2002-12-23 00:20:53.516956,-75.543018,161.69739,-3023.926
80,2002-12-23 04:48:08.748258,-75.210648,160.310821,57263.672
81,2002-12-23 19:18:03.438479,-75.386468,160.738014,-4930.664
82,2002-12-23 21:03:17.185727,-75.351171,160.393817,-1533.2030000000002
83,2002-12-24 00:38:08.145358,-75.35492,160.406372,-4861.328
84,2002-12-24 18:15:40.647178,-75.28844,160.731824,4013.6719999999996
85,2002-12-25 04:04:01.492685,-75.514549,160.95521,134434.57
86,2002-12-25 14:49:16.127339,-75.292755,160.466109,-4098.633000000001
87,2002-12-25 19:26:40.657770,-75.196637,160.796204,10947.266000000001
88,2002-12-26 00:10:03.167138,-75.344999,160.666555,-4930.664
89,2002-12-26 00:52:20.402887,-75.2406,160.770023,50191.406
90,2002-12-26 02:34:14.900722,-75.239437,160.803442,47209.961
91,2002-12-26 03:27:02.218968,-75.288122,161.407733,10600.586
92,2002-12-26 07:06:45.076944,-75.207415,160.894597,67802.734
93,2002-12-26 09:24:29.547296,-75.202678,160.891063,47071.289
94,2002-12-26 15:29:48.795242,-75.335157,160.552173,-4861.328
95,2002-12-28 00:51:20.534798,-75.377964,160.558779,-4930.664
96,2002-12-28 01:21:26.655079,-75.336254,160.849844,-4930.664
97,2002-12-28 02:16:57.980503,-75.37013,160.183048,124034.18000000001
98,2002-12-29 02:36:49.917919,-75.051542,160.535303,10808.594
99,2002-12-29 06:57:23.443030,-75.228405,161.265409,59135.742
100,2002-12-29 14:45:41.984943,-75.150706,160.970538,1170.898
101,2002-12-29 19:01:33.561858,-75.327,161.081939,338.86699999999996
102,2002-12-30 06:57:24.986088,-75.404137,160.64724,-4930.664
103,2002-12-30 07:38:17.617723,-75.312625,161.215051,70784.18000000001
104,2002-12-30 14:45:48.857868,-75.31254,160.976084,3112.3050000000003
105,2002-12-31 03:17:57.064559,-75.361204,161.092115,-354.49199999999996
106,2002-12-31 17:16:24.448486,-75.28311,160.96367,5400.391
107,2002-12-31 18:00:39.957347,-75.359607,160.422074,-4930.664
108,2002-12-31 23:18:11.931668,-75.29796,161.372368,94081.05500000001
109,2003-01-04 00:37:33.301559,-75.005616,160.885855,12888.672
