Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
827,123.847656,123.496094,,0.351562,YES,,YES,YES,,,
830,123.671875,123.671875,,0,YES,,YES,YES,,,
831,-4.296875,98.359375,,102.65625,,,,YES,YES,,Original shallow event switched to IDE event
834,116.640625,102.226562,,14.414063,YES,,YES,YES,,,
835,-4.296875,92.382812,,96.679687,,,,YES,YES,,Original shallow event switched to IDE event
836,116.992188,87.988281,,29.003907,,,YES,YES,,,
837,109.960938,-4.824219,,114.785157,,,YES,,,YES,Original IDE swithed to shallow event
844,-4.824219,6.425781,,11.25,YES,,,,YES,YES,
845,33.671875,-4.648438,,38.320313,,,,,,YES,
847,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
849,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
850,117.695312,-4.648438,,122.34375,,,YES,,,YES,Original IDE swithed to shallow event
