Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
462,100.46875,78.144531,,22.324219,,,YES,YES,,,
463,143.535156,143.535156,,0,YES,,YES,YES,,,
464,-4.648438,-4.912109,,0.263671,YES,,,,YES,YES,
465,112.949219,112.949219,,0,YES,,YES,YES,,,
466,119.804688,-4.648438,,124.453126,,,YES,,,YES,Original IDE swithed to shallow event
497,112.773438,-4.824219,,117.597657,,,YES,,,YES,Original IDE swithed to shallow event
500,-4.824219,-4.824219,,0,YES,,,,YES,YES,
501,-4.648438,-4.648438,,0,YES,,,,YES,YES,
502,135.273438,135.273438,,0,YES,,YES,YES,,,
503,110.664062,-4.824219,,115.488281,,,YES,,,YES,Original IDE swithed to shallow event
506,114.179688,-4.824219,,119.003907,,,YES,,,YES,Original IDE swithed to shallow event
507,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
508,116.289062,-4.824219,,121.113281,,,YES,,,YES,Original IDE swithed to shallow event
509,112.773438,81.660156,,31.113282,,,YES,YES,,,
510,126.835938,-4.648438,,131.484376,,,YES,,,YES,Original IDE swithed to shallow event
511,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
512,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
513,-4.824219,-4.824219,,0,YES,,,,YES,YES,
514,134.570312,-4.824219,,139.394531,,,YES,,,YES,Original IDE swithed to shallow event
515,126.484375,-4.648438,,131.132813,,,YES,,,YES,Original IDE swithed to shallow event
516,121.210938,92.382812,,28.828126,,,YES,YES,,,
517,-4.648438,-4.648438,,0,YES,,,,YES,YES,
518,135.097656,135.097656,,0,YES,,YES,YES,,,
519,-4.648438,87.109375,,91.757813,,,,YES,YES,,Original shallow event switched to IDE event
520,-4.824219,-4.824219,,0,YES,,,,YES,YES,
521,126.132812,98.183594,,27.949218,,,YES,YES,,,
522,-4.824219,-4.824219,,0,YES,,,,YES,YES,
523,128.945312,-4.648438,,133.59375,,,YES,,,YES,Original IDE swithed to shallow event
524,128.242188,-4.648438,,132.890626,,,YES,,,YES,Original IDE swithed to shallow event
525,121.210938,-4.824219,,126.035157,,,YES,,,YES,Original IDE swithed to shallow event
526,117.695312,-4.824219,,122.519531,,,YES,,,YES,Original IDE swithed to shallow event
527,127.011719,126.835938,,0.175781,YES,,YES,YES,,,
528,122.441406,122.441406,,0,YES,,YES,YES,,,
529,161.992188,94.492188,,67.5,,,YES,YES,,,
530,-4.648438,-4.912109,,0.263671,YES,,,,YES,YES,
531,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
532,149.863281,149.863281,,0,YES,,YES,YES,,,
533,109.433594,-4.824219,,114.257813,,,YES,,,YES,Original IDE swithed to shallow event
534,121.914062,87.636719,,34.277343,,,YES,YES,,,
535,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
